City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salalah,OM,82.22,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
2,Casino,AU,75.56,broken clouds,-28.8667,153.05,Squatters Homestead Motel
5,Alofi,NU,79.3,broken clouds,-19.0595,-169.9187,Taloa Heights
7,Airai,TL,76.51,overcast clouds,-8.9266,125.4092,Juvinal Martin
9,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Trincomalee,LK,82.04,overcast clouds,8.5711,81.2335,Welcombe Hotel
14,Hilo,US,76.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Jambi,ID,89.06,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
17,Grand Gaube,MU,82.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
23,Faanui,PF,81.23,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Carnarvon,AU,78.75,clear sky,-24.8667,113.6333,Hospitality Carnarvon
26,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
29,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
32,Bengkulu,ID,82.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Hobart,AU,76.05,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
37,Harper,LR,78.17,clear sky,4.375,-7.7169,Screensaver
38,Vaini,TO,79.75,broken clouds,-21.2,-175.2,Keleti Beach Resort
52,Saint-Philippe,RE,81.99,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
63,Souillac,MU,82.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,Atuona,PF,77.79,overcast clouds,-9.8,-139.0333,Villa Enata
78,Meulaboh,ID,80.37,overcast clouds,4.1363,96.1285,Kost Pria
