City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salalah,OM,17.0151,54.0924,82.22,28,44,10.54,scattered clouds
1,Jamestown,US,42.097,-79.2353,33.39,65,90,5.99,light snow
2,Casino,AU,-28.8667,153.05,75.56,76,75,6.8,broken clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,67.93,76,25,6.38,scattered clouds
4,Qaanaaq,GL,77.484,-69.3632,-7.73,88,96,7.31,overcast clouds
5,Alofi,NU,-19.0595,-169.9187,79.3,75,74,12.55,broken clouds
6,Arlit,NE,18.7369,7.3853,69.8,21,3,1.45,clear sky
7,Airai,TL,-8.9266,125.4092,76.51,52,86,2.13,overcast clouds
8,Butka,RU,56.7179,63.7866,21.83,84,38,12.88,scattered clouds
9,Kapaa,US,22.0752,-159.319,79.12,78,90,1.01,light rain
10,East London,ZA,-33.0153,27.9116,63.54,94,40,6.91,moderate rain
11,Trincomalee,LK,8.5711,81.2335,82.04,76,93,6.38,overcast clouds
12,Barrow,US,71.2906,-156.7887,-2.18,78,90,4.61,overcast clouds
13,Pimentel,PE,-6.8367,-79.9342,65.07,82,87,10.04,overcast clouds
14,Hilo,US,19.7297,-155.09,76.28,93,90,0.0,moderate rain
15,Jambi,ID,-1.6,103.6167,89.06,62,99,1.16,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,38.86,70,75,11.5,broken clouds
17,Grand Gaube,MU,-20.0064,57.6608,82.38,61,7,5.99,clear sky
18,Constitucion,CL,-35.3333,-72.4167,59.92,57,0,7.2,clear sky
19,Hami,CN,42.8,93.45,31.44,42,53,1.72,broken clouds
20,Kaitangata,NZ,-46.2817,169.8464,55.81,64,77,5.06,broken clouds
21,Busselton,AU,-33.65,115.3333,72.0,43,0,12.64,clear sky
22,Albany,US,42.6001,-73.9662,32.36,71,20,1.01,few clouds
23,Faanui,PF,-16.4833,-151.75,81.23,75,100,10.8,overcast clouds
24,Carnarvon,AU,-24.8667,113.6333,78.75,45,0,19.89,clear sky
25,Chamonix-Mont-Blanc,FR,45.9238,6.8693,42.89,97,75,4.29,broken clouds
26,Avarua,CK,-21.2078,-159.775,77.05,73,90,5.75,overcast clouds
27,Mataura,NZ,-46.1927,168.8643,61.66,48,79,6.06,broken clouds
28,Norman Wells,CA,65.282,-126.8329,-12.23,97,100,6.44,overcast clouds
29,Morant Bay,JM,17.8815,-76.4093,80.22,82,97,3.89,overcast clouds
30,Shingu,JP,33.7333,135.9833,54.09,54,4,14.32,clear sky
31,Punta Arenas,CL,-53.15,-70.9167,39.11,64,100,8.28,overcast clouds
32,Bengkulu,ID,-3.8004,102.2655,82.87,66,91,5.37,overcast clouds
33,Ribeira Grande,PT,38.5167,-28.7,65.95,86,22,18.12,few clouds
34,Ornes,NO,66.8689,13.7078,37.04,95,100,12.39,light snow
35,Hobart,AU,-42.8794,147.3294,76.05,58,75,3.0,broken clouds
36,Clyde River,CA,70.4692,-68.5914,16.03,86,100,19.57,light snow
37,Harper,LR,4.375,-7.7169,78.17,83,10,3.29,clear sky
38,Vaini,TO,-21.2,-175.2,79.75,66,60,7.87,broken clouds
39,Cape Town,ZA,-33.9258,18.4232,66.11,70,0,19.57,clear sky
40,Victoria,HK,22.2855,114.1577,64.26,75,92,1.01,overcast clouds
41,Khatanga,RU,71.9667,102.5,-1.61,79,99,22.46,overcast clouds
42,Bredasdorp,ZA,-34.5322,20.0403,61.29,67,20,5.14,few clouds
43,Tongliao,CN,43.6125,122.2653,26.42,67,0,15.23,clear sky
44,Iqaluit,CA,63.7506,-68.5145,29.93,74,90,20.0,light snow
45,Castro,BR,-24.7911,-50.0119,61.05,62,61,3.11,broken clouds
46,Cherskiy,RU,68.75,161.3,-32.42,100,47,3.98,scattered clouds
47,Aparecida Do Taboado,BR,-20.0867,-51.0936,74.84,61,36,1.5,scattered clouds
48,Saskylakh,RU,71.9167,114.0833,-24.75,98,11,8.9,few clouds
49,Aykhal,RU,66.0,111.5,-25.04,100,89,7.23,overcast clouds
50,Qandala,SO,11.472,49.8728,78.37,70,78,3.69,broken clouds
51,Nome,US,64.5011,-165.4064,8.67,47,1,18.41,clear sky
52,Saint-Philippe,RE,-21.3585,55.7679,81.99,64,24,9.86,few clouds
53,Jinchang,CN,38.4953,102.1739,41.11,14,0,4.0,clear sky
54,Palmer,US,42.1584,-72.3287,35.22,72,91,7.99,overcast clouds
55,Georgetown,MY,5.4112,100.3354,87.73,74,20,10.36,few clouds
56,Esperance,AU,-33.8667,121.9,62.44,67,84,16.93,broken clouds
57,Port Alfred,ZA,-33.5906,26.891,64.53,81,99,22.5,light rain
58,Lebu,CL,-37.6167,-73.65,53.19,89,0,18.54,clear sky
59,Dunedin,NZ,-45.8742,170.5036,55.89,63,17,5.19,few clouds
60,Borborema,BR,-21.6197,-49.0736,70.0,42,14,5.01,few clouds
61,Torbay,CA,47.6666,-52.7314,37.58,83,44,1.01,scattered clouds
62,Provideniya,RU,64.3833,-173.3,10.51,52,1,13.42,clear sky
63,Souillac,MU,-20.5167,57.5167,82.36,60,29,8.37,scattered clouds
64,Anadyr,RU,64.75,177.4833,-10.7,77,0,8.95,clear sky
65,Bluff,NZ,-46.6,168.3333,56.44,72,33,12.71,scattered clouds
66,Bialystok,PL,53.1333,23.15,33.21,92,60,8.34,broken clouds
67,Oparino,RU,59.8518,48.2783,18.45,93,100,11.05,light snow
68,Nikolskoye,RU,59.7035,30.7861,28.02,95,100,5.68,overcast clouds
69,Longyearbyen,SJ,78.2186,15.6401,4.84,56,20,6.91,few clouds
70,Portland,US,45.5234,-122.6762,46.17,91,90,1.01,moderate rain
71,Dodoma,TZ,-6.1722,35.7395,71.71,58,30,7.52,scattered clouds
72,Nuuk,GL,64.1835,-51.7216,21.81,79,20,3.44,few clouds
73,Atuona,PF,-9.8,-139.0333,77.79,76,100,9.73,overcast clouds
74,Batagay,RU,67.6333,134.6333,-30.82,99,24,2.77,few clouds
75,Pervomayskoye,RU,43.919,46.7102,45.64,90,0,5.73,clear sky
76,Upernavik,GL,72.7868,-56.1549,2.25,87,8,6.06,clear sky
77,Tasiilaq,GL,65.6145,-37.6368,26.76,63,98,7.72,overcast clouds
78,Meulaboh,ID,4.1363,96.1285,80.37,80,100,2.66,overcast clouds
79,Barra,BR,-11.0894,-43.1417,79.41,65,90,0.74,overcast clouds
80,Stornoway,GB,58.2093,-6.3865,46.36,94,90,1.99,overcast clouds
81,Karla,EE,59.3723,24.9275,32.14,90,90,6.91,snow
82,Vestmannaeyjar,IS,63.4427,-20.2734,43.03,76,100,13.51,light rain
83,New Norfolk,AU,-42.7826,147.0587,77.88,38,100,3.0,overcast clouds
84,Aquiraz,BR,-3.9014,-38.3911,85.21,64,99,12.53,overcast clouds
85,San Lorenzo De El Escorial,ES,40.5914,-4.1474,35.87,93,97,4.21,overcast clouds
86,Tiarei,PF,-17.5333,-149.3333,78.82,78,85,12.41,overcast clouds
87,Ginir,ET,7.1333,40.7,63.93,37,82,2.71,broken clouds
