City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arraial Do Cabo,-22.9661,-42.0278,75.06,78,75,19.57,BR,2021-11-20 16:22:36
1,Port Blair,11.6667,92.75,81.73,86,66,13.06,IN,2021-11-20 16:27:22
2,Ushuaia,-54.8,-68.3,44.22,70,75,40.29,AR,2021-11-20 16:23:48
3,Puerto Ayora,-0.7393,-90.3518,76.96,74,83,10.31,EC,2021-11-20 16:27:23
4,Butaritari,3.0707,172.7902,81.91,66,97,14.12,KI,2021-11-20 16:27:23
5,Prenzlau,53.3167,13.8667,54.21,71,100,17.09,DE,2021-11-20 16:27:23
6,Provideniya,64.3833,-173.3,9.28,57,13,4.65,RU,2021-11-20 16:27:24
7,Yellowknife,62.456,-114.3525,0.28,85,75,9.22,CA,2021-11-20 16:27:24
8,Castro,-24.7911,-50.0119,73.0,57,75,4.94,BR,2021-11-20 16:27:21
9,New Norfolk,-42.7826,147.0587,51.3,81,76,2.62,AU,2021-11-20 16:27:24
10,Port Alfred,-33.5906,26.891,65.12,67,63,16.28,ZA,2021-11-20 16:27:24
11,Tasiilaq,65.6145,-37.6368,28.56,95,100,18.1,GL,2021-11-20 16:27:25
12,Kapaa,22.0752,-159.319,75.52,77,75,4.61,US,2021-11-20 16:27:25
13,Jamestown,42.097,-79.2353,39.52,62,1,5.99,US,2021-11-20 16:27:25
14,Ponta Do Sol,32.6667,-17.1,70.72,66,72,3.11,PT,2021-11-20 16:27:25
15,Rikitea,-23.1203,-134.9692,73.04,64,100,8.63,PF,2021-11-20 16:27:25
16,Altay,47.8667,88.1167,5.4,57,0,6.78,CN,2021-11-20 16:27:26
17,Port Lincoln,-34.7333,135.8667,54.77,71,23,13.62,AU,2021-11-20 16:24:33
18,The Pas,53.8251,-101.2541,24.82,86,90,14.97,CA,2021-11-20 16:27:26
19,Mataura,-46.1927,168.8643,50.31,99,100,3.0,NZ,2021-11-20 16:27:20
20,East London,-33.0153,27.9116,67.14,68,75,11.5,ZA,2021-11-20 16:27:26
21,Nikolskoye,59.7035,30.7861,37.87,77,95,12.68,RU,2021-11-20 16:27:27
22,Atuona,-9.8,-139.0333,79.21,67,2,12.77,PF,2021-11-20 16:25:59
23,Cidreira,-30.1811,-50.2056,71.06,55,0,10.83,BR,2021-11-20 16:27:27
24,Asfi,32.2994,-9.2372,65.71,76,7,12.53,MA,2021-11-20 16:27:27
25,Hilo,19.7297,-155.09,76.28,87,90,6.91,US,2021-11-20 16:27:27
26,Allada,6.6655,2.1514,86.76,57,41,7.56,BJ,2021-11-20 16:27:28
